Region,Main_brand,Category,Age,Gender,Nationality,OSAT,Communication,Ontime,Proposition,Delivery_fees,Restaurant_options,Grocery_options,Ease_usage,Delivery_process,App_sat,time_deliveryboy,Customer_support,Payment_process,Paying_,Product_quality
Central,HungerStation,Restaurants,30-39,Female,Nationals,10,10,10,9,8,10,7,10,9,10,9,9,10,10,10
Central,HungerStation,Restaurants,30-39,Female,Nationals,10,9,10,10,8,9,9,10,9,10,10,10,9,,9
Western,HungerStation,Restaurants,30-39,Male,Nationals,8,9,10,9,8,9,9,9,9,9,9,8,9,8,9
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,30-39,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30-39,Female,Nationals,9,8,8,9,7,8,8,7,9,8,10,8,7,8,7
Central,MRSOOL,Grocery,40-49,Male,Expat Arabs,8,7,8,8,8,9,9,8,9,10,9,8,9,10,9
Central,MRSOOL,Personal_care,15-29,Female,Nationals,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7
Eastern,Careemnow,Restaurants,30-39,Female,Nationals,10,10,10,10,8,7,3,10,10,10,10,8,10,7,9
Central,MRSOOL,Grocery,30-39,Female,Nationals,10,10,9,9,10,9,9,9,10,10,9,10,10,10,9
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,8,8,10,10,10,10,10,10,10
Central,ToYou,Restaurants,30-39,Male,Expat Asians,7,7,6,8,6,5,2,7,7,6,7,7,7,7,1
Eastern,HungerStation,Restaurants,15-29,Male,Expat Arabs,9,8,7,9,10,8,7,8,9,7,6,6,7,8,7
Eastern,ToYou,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10
Western,Careemnow,Grocery,30-39,Female,Nationals,10,10,10,10,9,9,10,10,10,9,9,10,10,9,9
Central,MRSOOL,ODS,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,40-49,Male,Expat Asians,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Talabat,Restaurants,30-39,Female,Expat Asians,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Central,MRSOOL,Electronics,40-49,Male,Nationals,8,7,8,7,7,8,8,8,8,8,8,7,7,8,7
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10
Western,Careemnow,Restaurants,15-29,Male,Expat Asians,9,5,4,5,5,5,3,3,5,10,3,3,3,3,9
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,8,8,9,8,8,8,6,9,9,9,9,7,9,8,9
Eastern,HungerStation,Restaurants,30-39,Female,Expat Asians,8,8,10,7,6,8,7,9,9,9,8,9,9,7,8
Western,HungerStation,Restaurants,30-39,Male,Expat Arabs,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
Western,MRSOOL,Pharmacies,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Northern,HungerStation,Restaurants,15-29,Female,Expat Arabs,8,9,9,8,8,8,7,10,10,8,8,9,8,6,10
Central,HungerStation,Restaurants,15-29,Male,Nationals,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,7,5,7,6,7,7,6,6,5,6,5,5,5,6,6
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,7,6,7,5,5,6,5,6,5,6,5,6,5,6,5
Eastern,HungerStation,Restaurants,40-49,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,Carriage,Grocery,15-29,Male,Expat Asians,9,3,4,4,4,4,5,4,4,4,4,5,5,5,4
Central,Careemnow,Restaurants,30-39,Male,Expat Arabs,8,8,8,8,8,10,8,10,8,8,8,7,8,7,8
Eastern,Careemnow,Restaurants,30-39,Female,Nationals,10,10,9,10,10,7,2,9,10,10,10,8,9,7,8
Eastern,HungerStation,Restaurants,15-29,Male,Nationals,9,6,8,9,9,8,10,10,10,9,9,9,10,10,10
Western,Careemnow,Pharmacies,30-39,Male,Nationals,9,9,8,9,9,8,6,8,9,9,7,8,8,8,7
Eastern,HungerStation,Electronics,40-49,Female,Nationals,7,8,8,7,10,9,8,9,10,10,9,10,8,9,9
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30-39,Male,Expat Asians,9,9,9,9,8,9,6,9,9,9,9,9,8,9,9
Eastern,Careemnow,Restaurants,30-39,Female,Expat Arabs,10,8,10,8,8,10,9,10,10,10,10,10,10,10,9
Central,MRSOOL,ODS,15-29,Female,Nationals,9,10,10,10,1,10,10,10,10,6,6,6,7,7,7
Western,MRSOOL,Restaurants,15-29,Female,Expat Arabs,8,7,8,8,8,9,10,8,8,8,8,8,7,7,7
Eastern,MRSOOL,Restaurants,15-29,Female,Nationals,8,5,7,5,5,7,7,7,6,5,5,6,6,6,6
Western,HungerStation,Restaurants,30-39,Male,Expat Asians,9,10,9,9,9,8,6,7,8,8,9,9,8,9,9
Central,HungerStation,Restaurants,30-39,Female,Nationals,9,9,9,8,6,7,8,8,9,9,8,8,9,9,8
Central,MRSOOL,Grocery,30-39,Female,Nationals,10,10,9,9,9,9,10,9,9,8,9,9,10,9,9
Central,HungerStation,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Male,Nationals,9,10,9,10,9,10,10,9,9,9,9,9,9,9,9
Central,MRSOOL,Grocery,30-39,Male,Nationals,10,10,10,9,8,9,7,8,9,6,8,7,8,9,7
Central,HungerStation,Restaurants,30-39,Male,Expat Arabs,8,8,8,7,6,10,8,10,10,10,9,6,8,8,9
Central,Careemnow,Restaurants,30-39,Male,Nationals,9,9,9,9,7,10,6,7,8,10,7,9,,10,9
Western,HungerStation,Pharmacies,30-39,Male,Expat Asians,8,8,8,8,9,8,9,9,9,9,8,9,9,8,9
Western,Careemnow,Restaurants,15-29,Female,Nationals,8,,7,5,4,6,,6,5,5,5,6,7,,7
South,HungerStation,Restaurants,30-39,Female,Expat Arabs,10,7,10,5,10,9,8,8,8,10,8,10,9,9,9
Western,ToYou,Restaurants,30-39,Female,Expat Asians,8,8,9,9,10,9,8,9,8,9,8,9,9,9,9
Western,MRSOOL,Pharmacies,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Female,Nationals,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Northern,HungerStation,Restaurants,15-29,Male,Nationals,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,40-49,Female,Nationals,8,9,9,8,10,8,8,9,8,9,8,8,9,9,8
Eastern,HungerStation,Restaurants,40-49,Male,Expat Arabs,10,8,10,10,9,10,7,9,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30-39,Female,Nationals,8,7,9,10,5,6,5,5,9,8,10,9,10,10,10
Eastern,HungerStation,Restaurants,30-39,Female,Expat Asians,9,10,9,10,9,9,9,10,9,10,9,10,9,10,9
Western,Careemnow,Restaurants,30-39,Female,Nationals,8,8,6,9,7,9,8,9,8,9,7,9,8,9,9
Central,Careemnow,Restaurants,15-29,Female,Expat Arabs,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9
Northern,HungerStation,Restaurants,30-39,Male,Expat Arabs,10,10,10,8,9,6,9,7,7,6,8,4,6,5,3
Central,MRSOOL,Personal_care,40-49,Male,Nationals,8,9,7,6,7,6,6,6,6,6,6,6,6,5,5
Central,Careemnow,Grocery,30-39,Female,Nationals,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Central,Nana,Grocery,15-29,Female,Nationals,8,6,6,7,6,6,5,7,6,6,6,7,8,8,8
Central,HungerStation,Restaurants,30-39,Female,Nationals,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Western,MRSOOL,Grocery,40-49,Female,Expat Arabs,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Northern,MRSOOL,Restaurants,15-29,Male,Expat Arabs,8,9,8,8,8,10,10,10,10,9,9,6,8,8,9
Eastern,HungerStation,Restaurants,30-39,Male,Nationals,10,7,7,5,6,6,5,5,4,5,8,5,8,7,7
Eastern,MRSOOL,Restaurants,15-29,Male,Nationals,9,6,7,5,1,8,8,5,6,6,1,8,4,5,3
Central,HungerStation,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,8,9,10,9,10,10,10,8,10,10,10
Western,MRSOOL,Grocery,40-49,Female,Nationals,8,8,9,8,9,9,9,9,8,8,8,7,7,8,8
Central,HungerStation,Restaurants,15-29,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,9,7,10,6,5,7,7,8,8,10,10,8,8,8,7
Central,MRSOOL,Restaurants,30-39,Female,Nationals,6,6,7,7,8,9,9,9,8,9,9,8,7,8,
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,10,9,10,9,9,10,9,9,10,10,10,9,9,9,10
Central,HungerStation,Restaurants,30-39,Female,Nationals,10,10,9,10,10,10,9,10,10,9,10,10,10,10,10
Eastern,HungerStation,ODS,15-29,Female,Nationals,7,3,5,5,4,4,4,4,5,5,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,9,10,9,9,10,9,9,9,10,9,9,9,10,9,10
Western,MRSOOL,Restaurants,15-29,Female,Nationals,8,8,7,8,7,7,6,7,6,5,6,5,6,5,6
Western,MRSOOL,Grocery,30-39,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Nana,Grocery,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Female,Nationals,8,9,10,9,8,8,7,10,10,10,10,9,10,9,10
Western,HungerStation,Restaurants,15-29,Female,Expat Asians,9,10,10,9,8,9,8,9,8,9,9,8,9,10,8
Western,Careemnow,Grocery,30-39,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10
Western,Jahez,Grocery,40-49,Female,Expat Arabs,8,8,8,7,7,7,7,8,7,7,7,7,7,7,7
Western,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,MRSOOL,Restaurants,15-29,Male,Nationals,6,7,9,8,9,8,9,8,9,9,8,8,8,8,9
Western,Careemnow,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Talabat,Restaurants,40-49,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,MRSOOL,Grocery,30-39,Male,Nationals,5,7,9,7,9,6,4,5,6,10,6,8,7,8,5
South,MRSOOL,Restaurants,40-49,Female,Expat Arabs,9,9,10,9,9,9,8,9,9,10,9,9,9,8,9
Central,HungerStation,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,Talabat,Restaurants,30-39,Female,Nationals,7,9,8,9,7,8,7,7,8,8,9,9,8,7,7
Western,HungerStation,Pharmacies,15-29,Male,Nationals,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Grocery,30-39,Male,Expat Asians,9,9,8,7,5,5,6,6,8,9,10,10,,,10
Eastern,HungerStation,Restaurants,15-29,Male,Expat Asians,8,8,7,9,7,8,7,9,8,8,9,8,8,9,9
Central,Careemnow,Personal_care,30-39,Male,Expat Arabs,7,10,9,9,10,9,8,10,10,9,10,9,10,9,10
Western,MRSOOL,Restaurants,15-29,Male,Nationals,10,10,10,10,10,10,10,10,8,10,10,10,10,10,9
Western,Careemnow,Restaurants,30-39,Female,Expat Arabs,10,10,,,10,10,9,10,,,,,10,10,
Central,HungerStation,Grocery,30-39,Female,Expat Arabs,10,10,7,8,9,9,10,9,7,8,9,10,9,9,10
Central,HungerStation,Grocery,30-39,Female,Expat Arabs,8,8,8,9,7,5,4,6,7,10,8,8,9,8,9
Western,Careemnow,Restaurants,30-39,Male,Nationals,7,9,9,8,8,9,6,7,7,7,8,7,7,8,7
Western,Nana,Grocery,15-29,Female,Nationals,6,7,6,8,8,6,5,7,7,7,8,7,9,9,7
Central,MRSOOL,Restaurants,30-39,Male,Nationals,4,6,8,6,9,6,8,7,6,5,7,5,6,9,6
Western,MRSOOL,Restaurants,15-29,Male,Nationals,8,8,9,7,8,10,10,8,8,9,8,9,10,9,9
Eastern,HungerStation,Restaurants,15-29,Male,Expat Asians,8,9,9,8,9,8,8,9,8,9,8,8,8,9,8
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,15-29,Female,Nationals,8,6,9,8,5,9,,7,9,9,9,10,9,,9
Central,MRSOOL,Restaurants,30-39,Female,Expat Arabs,8,9,8,7,7,10,9,9,9,10,9,8,9,9,10
Western,MRSOOL,Grocery,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,40-49,Male,Expat Asians,9,9,9,9,9,9,,9,9,9,9,9,9,9,9
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,10,10,9,9,9,10,9,9,9,10,9,8,9,9,9
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,9,10,10,8,6,10,8,10,,10,8,10,9,10,9
Eastern,HungerStation,Restaurants,40-49,Male,Nationals,8,7,8,8,6,7,6,7,6,7,5,7,6,5,7
Central,HungerStation,Restaurants,30-39,Female,Nationals,7,6,8,7,7,6,6,7,8,8,6,7,8,8,7
Western,HungerStation,Restaurants,15-29,Female,Expat Arabs,9,9,6,4,6,4,10,10,9,,9,10,9,10,9
Eastern,Wassel,Restaurants,30-39,Female,Nationals,8,8,9,8,7,8,8,7,7,9,9,9,9,9,9
Central,Talabat,Restaurants,30-39,Female,Nationals,4,5,6,5,5,6,6,6,5,5,6,6,6,6,5
Western,Careemnow,Restaurants,30-39,Male,Expat Asians,9,9,8,9,8,9,8,9,9,9,9,7,7,8,7
Western,HungerStation,Restaurants,15-29,Female,Expat Asians,9,9,10,9,9,10,9,9,10,10,9,9,10,9,10
Eastern,HungerStation,Restaurants,30-39,Female,Expat Asians,8,7,7,5,3,7,9,8,9,9,9,10,10,10,8
Central,HungerStation,Restaurants,30-39,Male,Expat Arabs,8,9,9,8,9,9,9,9,8,9,6,6,9,,9
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Restaurants,15-29,Male,Expat Arabs,8,8,10,6,5,10,7,10,9,10,8,9,10,10,10
Central,MRSOOL,Restaurants,15-29,Female,Nationals,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,1,10,10,10,10,10,9,10,10,10,10
Central,MRSOOL,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,15-29,Female,Nationals,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8
Central,Jahez,ODS,40-49,Male,Nationals,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Central,HungerStation,Restaurants,50+,Male,Nationals,7,6,8,9,9,9,9,4,9,9,10,5,8,9,4
Central,Wassel,Electronics,30-39,Male,Nationals,7,8,9,8,9,8,9,8,9,8,9,8,9,8,9
Central,MRSOOL,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Restaurants,30-39,Male,Expat Arabs,10,10,10,10,10,7,8,9,10,10,9,8,9,10,8
South,HungerStation,Restaurants,30-39,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,15-29,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Northern,HungerStation,Electronics,15-29,Male,Nationals,8,8,6,6,8,5,7,9,5,10,2,7,8,5,3
Eastern,MRSOOL,Pharmacies,30-39,Male,Nationals,8,9,8,9,8,9,8,9,8,9,8,9,8,10,7
Western,HungerStation,Restaurants,30-39,Male,Nationals,9,9,9,9,9,10,9,9,9,10,9,9,10,9,9
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,10,10,9,10,9,9,9,9,10,10,9,10,10,9,9
Western,MRSOOL,Restaurants,30-39,Male,Expat Arabs,6,7,7,7,7,7,7,7,7,6,7,8,8,7,7
Western,HungerStation,ODS,15-29,Male,Nationals,4,5,8,9,9,9,9,9,9,9,10,9,10,9,9
Central,HungerStation,Restaurants,15-29,Male,Nationals,5,5,3,3,3,5,1,2,3,2,1,5,4,3,1
Western,Careemnow,Restaurants,30-39,Female,Nationals,10,10,9,9,10,9,9,10,9,10,9,9,10,10,10
Eastern,HungerStation,Restaurants,40-49,Male,Expat Asians,10,10,10,9,8,9,6,9,9,10,9,9,9,8,9
Northern,MRSOOL,Restaurants,15-29,Male,Expat Arabs,10,10,9,10,8,9,10,10,9,8,6,10,9,10,10
Eastern,HungerStation,Restaurants,50+,Female,Expat Asians,10,10,10,10,8,10,9,10,10,10,10,9,10,10,9
Western,MRSOOL,Restaurants,30-39,Male,Expat Arabs,10,10,10,9,8,6,9,10,9,6,8,10,7,9,10
Eastern,HungerStation,Restaurants,15-29,Female,Nationals,10,10,9,8,9,10,9,10,9,10,10,9,10,10,9
Central,HungerStation,Restaurants,30-39,Male,Expat Arabs,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Central,HungerStation,Restaurants,30-39,Male,Nationals,8,10,5,5,5,10,10,10,10,10,10,7,7,7,10
Western,HungerStation,Restaurants,30-39,Female,Nationals,8,4,8,5,9,7,9,5,5,8,8,6,9,5,8
Central,HungerStation,Restaurants,30-39,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Personal_care,15-29,Male,Expat Arabs,8,9,8,8,5,9,10,10,7,10,6,10,8,10,10
Western,HungerStation,Restaurants,30-39,Female,Expat Arabs,9,9,9,9,9,10,10,9,9,10,9,10,10,10,10
Western,HungerStation,Restaurants,40-49,Female,Expat Arabs,10,10,10,9,9,10,9,10,10,10,10,10,10,10,9
Central,HungerStation,Restaurants,15-29,Female,Nationals,8,8,8,8,8,6,6,6,7,8,8,8,8,8,7
Eastern,HungerStation,Restaurants,50+,Female,Expat Asians,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10
Western,Careemnow,Restaurants,15-29,Female,Nationals,10,8,10,10,10,7,5,8,9,10,9,7,10,7,6
Western,HungerStation,Restaurants,15-29,Female,Nationals,7,8,5,8,7,5,7,5,6,6,5,7,6,9,8
Central,Nana,Grocery,30-39,Male,Expat Arabs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Central,HungerStation,Restaurants,15-29,Female,Nationals,9,10,10,9,9,9,9,9,10,10,10,9,9,9,9
Eastern,Careemnow,Grocery,30-39,Female,Expat Asians,7,2,2,2,2,2,2,2,2,3,2,2,2,2,2
Central,HungerStation,Restaurants,15-29,Female,Nationals,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10
South,MRSOOL,ODS,40-49,Female,Expat Arabs,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
Central,HungerStation,Restaurants,30-39,Female,Expat Arabs,9,9,8,8,9,9,8,9,9,8,8,9,9,8,9
Central,HungerStation,Restaurants,15-29,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,MRSOOL,Restaurants,15-29,Female,Nationals,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
